doi,num_authors,num_pages,year,categories
10.1007/s11207-019-1500-0,5,16,2019,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM']"
10.1051/0004-6361/201936810,4,17,2020,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM']"
10.5303/JKAS.2020.53.5.99,1,4,2020,"['astro-ph.IM', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.SR']"
10.1093/mnras/staa471,6,13,2020,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM']"
10.1093/mnras/staa540,2,10,2020,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM']"
10.1051/0004-6361/201833774,28,2,2020,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM']"
10.1093/mnras/staa2375,4,24,2020,"['astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM', 'astro-ph.SR']"
10.1093/mnras/staa3674,12,11,2020,"['astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM', 'astro-ph.SR']"
10.1093/mnras/staa3682,2,17,2020,"['astro-ph.IM', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.SR']"
10.1051/0004-6361/202040077,4,11,2021,"['astro-ph.GA', 'astro-ph.EP', 'astro-ph.IM', 'astro-ph.SR']"
10.3847/1538-4365/abf93c,1,18,2021,"['astro-ph.GA', 'astro-ph.EP', 'astro-ph.IM', 'astro-ph.SR']"
10.3847/1538-3881/ac1c09,34,11,2021,"['astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM', 'astro-ph.SR']"
10.1051/0004-6361/202141939,49,9,2021,"['astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM', 'astro-ph.SR']"
10.1051/0004-6361/201936393,5,24,2021,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM']"
10.1051/0004-6361/202140614,16,13,2021,"['astro-ph.IM', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.SR']"
10.1051/0004-6361/202141623,2,17,2021,"['astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM', 'astro-ph.SR']"
10.1051/0004-6361/202243134,168,38,2022,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM']"
10.1051/0004-6361/202244032,6,29,2022,"['astro-ph.IM', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.SR']"
10.1093/mnras/stx2582,25,20,2017,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM']"
10.1093/mnras/stz306,43,26,2018,"['astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM', 'astro-ph.SR']"
10.3847/1538-4365/aaec06,1,14,2018,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM']"
10.1093/mnras/staa786,1,20,2020,"['astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM', 'astro-ph.SR']"
10.1051/0004-6361/202037587,4,13,2020,"['astro-ph.IM', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.SR']"
10.3847/1538-3881/aba75b,8,26,2020,"['astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM', 'astro-ph.SR']"
10.3847/1538-3881/abfc4a,20,47,2021,"['astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM', 'astro-ph.SR']"
10.1093/mnras/staa2745,1,19,2020,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM']"
10.25949/zdaw-rx65,21,141,2020,"['astro-ph.IM', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.SR']"
10.3847/1538-3881/ac205c,6,21,2020,"['astro-ph.GA', 'astro-ph.EP', 'astro-ph.IM', 'astro-ph.SR']"
10.3847/1538-3881/abf930,57,2,2021,"['astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM', 'astro-ph.SR']"
10.3847/1538-4357/ac3fbb,7,16,2021,"['astro-ph.IM', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.SR']"
10.1088/1538-3873/ac5b89,7,16,2022,"['astro-ph.IM', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.SR']"
10.1051/0004-6361/202243161,21,10,2022,"['astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM', 'astro-ph.SR']"
10.3847/2041-8213/ac8c2b,2,10,2022,"['astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM', 'astro-ph.SR']"
10.1088/1674-4527/ac77e4,22,39,2022,"['astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM', 'astro-ph.SR']"
10.1051/0004-6361/202244193,2,11,2022,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM']"
10.1051/0004-6361/202243782,450,60,2022,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM']"
10.1051/0004-6361/202243800,448,35,2022,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM']"
10.1093/mnras/stac2928,8,16,2022,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM']"
10.1051/0004-6361/202244207,8,12,2022,"['astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM', 'astro-ph.SR']"
10.3847/1538-4365/ac98fd,8,14,2022,"['astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM', 'astro-ph.SR']"
10.1051/0004-6361/202142970,2,15,2022,"['astro-ph.IM', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.SR']"
10.1140/epjp/s13360-022-03377-0,4,17,2022,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM']"
10.18716/kups/64624,1,5,2022,"['astro-ph.IM', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.SR']"
10.1093/mnras/stad319,2,20,2023,"['astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM', 'astro-ph.SR']"
10.1051/0004-6361/202243514,5,17,2023,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM']"
10.3847/1538-3881/acc526,4,14,2023,"['astro-ph.GA', 'astro-ph.EP', 'astro-ph.IM', 'astro-ph.SR']"
10.1093/mnras/stad2655,2,14,2023,"['astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM', 'astro-ph.SR']"
10.1093/mnras/stab3108,3,8,2023,"['astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM', 'astro-ph.SR']"
10.1093/mnras/stad1899,3,10,2023,"['astro-ph.GA', 'astro-ph.EP', 'astro-ph.IM', 'astro-ph.SR']"
10.3847/1538-4357/acf31e,8,12,2023,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM']"
10.3847/1538-3881/ad05c1 10.3847/1538-3881/ad5e7c,1,14,2023,"['astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM', 'astro-ph.SR', '85A99']"
10.1051/0004-6361/202347767,6,15,2024,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM']"
10.12688/openreseurope.17450.1,41,27,2024,"['astro-ph.GA', 'astro-ph.EP', 'astro-ph.IM', 'astro-ph.SR']"
10.3847/1538-4357/ad8b26,7,28,2024,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM']"
10.1088/1538-3873/ad70d7,5,18,2024,"['astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM', 'astro-ph.SR']"
10.3847/1538-4357/ad779f,2,12,2024,"['astro-ph.IM', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.SR']"
10.3847/1538-4357/ad88f5,5,15,2024,"['astro-ph.SR', 'astro-ph.EP', 'astro-ph.GA', 'astro-ph.IM']"
